eventID;occurrenceID;basisOfRecord;individualCount;organismQuantity;organismQuantityType;occurrenceStatus;scientificName;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;recordedBy;type;ownerInstitutionCode
SStr-1;SStr-1-1;HumanObservation;1;1;individual;present;Coleoptera;Animalia;Arthropoda;Insetca;Coleoptera;;;;;Order;Kayleigh & Jess;Event;
SStr-1;SStr-1-2;HumanObservation;5;5;individual;present;Oligochaete;Animalia;Annelida;Clitellata;Oligochaete;;;;;Order;Kayleigh & Jess;Event;
SStr-1;SStr-1-3;HumanObservation;1;1;individual;present;Coleoptera;Animalia;Arthropoda;Insetca;Coleoptera;;;;;Order;Kayleigh & Jess;Event;
SStr-2;SStr-2-4;HumanObservation;1;1;individual;present;Hydrophilidae;Animalia;Arthropoda;Insetca;Colepotera;Hydrophilidae;;;;Family;Kayleigh & Jess;Event;
SStr-2;SStr-2-5;HumanObservation;1;1;individual;present;Capniidae;Animalia;Arthropoda;Insetca;Plecoptera;Capniidae;;;;Family;Kayleigh & Jess;Event;
SStr-3;SStr-3-6;HumanObservation;1;1;individual;present;Diptera;Animalia;Arthropoda;Insetca;Diptera;;;;;Order;Kayleigh & Jess;Event;
SStr-4;SStr-4-7;HumanObservation;1;1;individual;present;Oligochaete;Animalia;Annelida;Clitellata;Oligochaete;;;;;Order;Kayleigh & Jess;Event;
SStr-4;SStr-4-8;HumanObservation;1;1;individual;present;Capniidae;Animalia;Arthropoda;Insetca;Plecoptera;Capniidae;;;;Family;Kayleigh & Jess;Event;
SStr-5;SStr-5-9;HumanObservation;4;4;individual;present;Diptera;Animalia;Arthropoda;Insetca;Diptera;;;;;Order;Kayleigh & Jess;Event;
SStr-5;SStr-5-10;HumanObservation;1;1;individual;present;Trichoptera;Animalia;Arthropoda;Insetca;Trichoptera;;;;;Order;Kayleigh & Jess;Event;
SStr-5;SStr-5-11;HumanObservation;1;1;individual;present;Coleoptera;Animalia;Arthropoda;Insetca;Coleoptera;;;;;Order;Kayleigh & Jess;Event;
SStr-5;SStr-5-12;HumanObservation;1;1;individual;present;Capniidae;Animalia;Arthropoda;Insetca;Plecoptera;Capniidae;;;;Family;Kayleigh & Jess;Event;
SMar-1;SMar-1-13;HumanObservation;1;1;individual;present;Diptera;Animalia;Arthropoda;Insetca;Diptera;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-1;SMar-1-14;HumanObservation;1;1;individual;present;Odonata;Animalia;Arthropoda;Insetca;Odonata;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-2;SMar-2-15;HumanObservation;1;1;individual;present;Trichoptera;Animalia;Arthropoda;Insetca;Trichoptera;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-2;SMar-2-16;HumanObservation;1;1;individual;present;Odonata;Animalia;Arthropoda;Insetca;Odonata;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-3;SMar-3-17;HumanObservation;3;3;individual;present;Odonata;Animalia;Arthropoda;Insetca;Odonata;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-3;SMar-3-18;HumanObservation;2;2;individual;present;Ephemeroptera;Animalia;Arthropoda;Insetca;Ephemeroptera;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-4;SMar-4-19;HumanObservation;1;1;individual;present;Diptera;Animalia;Arthropoda;Insetca;Diptera;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-4;SMar-4-20;HumanObservation;1;1;individual;present;Coleoptera;Animalia;Arthropoda;Insetca;Coleoptera;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-4;SMar-4-21;HumanObservation;2;2;individual;present;Oligochaete;Animalia;Annelida;Clitelatta;Oligochaete;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-4;SMar-4-22;HumanObservation;1;1;individual;present;Ephemeroptera;Animalia;Arthropoda;Insecta;Ephemeroptera;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-5;SMar-5-23;HumanObservation;1;1;individual;present;Oligochaete;Animalia;Annelida;Clitellata;Oligochaete;;;;;Order;Kevin, Cale & Murphy;Event;
SMar-5;SMar-5-24;HumanObservation;1;1;individual;present;Odonata;Animalia;Arthropoda;Insecta;Odonata;;;;;Order;Kevin, Cale & Murphy;Event;
