eventID;occurrenceID;basisOfRecord;individualCount;organismQuantity;organismQuantityType;occurrenceStatus;scientificName;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;recordedBy;type;ownerInstitutionCode
SLowT-Pitfall-2;SLowT-Pitfall-2-1;HumanObservation;1;1;individuals;present;Diptera;Animalia;Arthropoda;Insecta;Diptera;;;;;Order;Kayleigh;Event;
SLowT-Pitfall-3;SLowT-Pitfall-3-2;HumanObservation;1;1;individuals;present;Araneae;Animalia;Arthropoda;Arachnida;Araneae;;;;;Order;Kayleigh;Event;
SLowT-Pitfall-5;SLowT-Pitfall-5-3;HumanObservation;1;1;individuals;present;Araneae;Animalia;Arthropoda;Arachnida;Araneae;;;;;Order;Kayleigh;Event;
SLowT-Pitfall-5;SLowT-Pitfall-5-4;HumanObservation;1;1;individuals;present;Diptera;Animalia;Arthropoda;Insecta;Diptera;;;;;Order;Kayleigh;Event;
SLowT-Pitfall-5;SLowT-Pitfall-5-5;HumanObservation;1;1;individuals;present;Conomelus sp.;Animalia;Arthropoda;Insecta;Hemiptera;Delphacidae;Conomelus;;;Genus;Kayleigh;Event;
SLowT-Sweep2;SLowT-Sweep2-6;HumanObservation;1;1;individuals;present;Araneae;Animalia;Arthropoda;Arachnida;Araneae;;;;;Order;Kayleigh;Event;
SLowT-Sweep2;SLowT-Sweep2-7;HumanObservation;2;2;individuals;present;Tipula oleracea;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula oleracea;;Species;Kayleigh;Event;
SLowT-Sweep4;SLowT-Sweep4-8;HumanObservation;1;1;individuals;present;Tipula oleracea;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula oleracea;;Species;Kayleigh;Event;
SLowT-Sweep4;SLowT-Sweep4-9;HumanObservation;1;1;individuals;present;Araneae;Animalia;Arthropoda;Arachnida;Araneae;;;;;Order;Kayleigh;Event;
SLowT-Sweep4;SLowT-Sweep4-10;HumanObservation;1;1;individuals;present;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;;;;;Order;Kayleigh;Event;
SLowT-Sweep4;SLowT-Sweep4-11;HumanObservation;1;1;individuals;present;Hemiptera;Animalia;Arthropoda;Insecta;Hemiptera;Miridae;;;;Family;Kayleigh;Event;
SLowT-Sweep4;SLowT-Sweep4-12;HumanObservation;1;1;individuals;present;Lepidoptera;Animalia;Arthropoda;Insecta;Lepidoptera;;;;;Order;Kayleigh;Event;
SLowT-Sweep5;SLowT-Sweep5-13;HumanObservation;1;1;individuals;present;Insecta;Animalia;Arthropoda;Insecta;;;;;;Class;Kayleigh;Event;
