eventID;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;startDayOfYear;eventRemarks;country;countryCode;locality;locationID;decimalLatitudeSTART;decimalLongitudeSTART;geodeticDatum;coordinateUncertaintyInMeters;type;ownerInstitutionCode
SLowT-Pitfall-1;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.69921;-5.284754;WGS84;8;Event;
SLowT-Pitfall-2;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.698752;-5.284324;WGS84;8;Event;
SLowT-Pitfall-3;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.697701;-5.283606;WGS84;8;Event;
SLowT-Pitfall-4;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.696677;-5.283175;WGS84;8;Event;
SLowT-Pitfall-5;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.696407;-5.282793;WGS84;8;Event;
SLowT-Pitfall-6;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.695976;-5.282267;WGS84;8;Event;
SLowT-Pitfall-7;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.69541;-5.281645;WGS84;8;Event;
SLowT-Pitfall-8;PitfallTrap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;55.695033;-5.281118;WGS84;8;Event;
SLowT-Sweep1;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;10:00;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;;;;;Event;
SLowT-Sweep2;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;10:20;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;;;;;Event;
SLowT-Sweep3;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;10:40;256;Empty;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;;;;;Event;
SLowT-Sweep4;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;11:00;256;Stream running through with myrtle;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;;;;;Event;
SLowT-Sweep5;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;11:20;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;;;;;Event;
SLowT-Sweep6;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;11:30;256;;Scotland;GB-SCT;Lochranza, Isle of Arran;SLowT;;;;;Event;
NLowT-Pitfall1;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.706838;-5.282745;WGS84;8;Event;
NLowT-Pitfall2;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Path, Semiimproved acidic grassland, bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.706218;-5.281645;WGS84;8;Event;
NLowT-Pitfall3;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Bracken, Hathorn;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.70549;-5.280592;WGS84;8;Event;
NLowT-Pitfall4;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Dense Bracken, Berry;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.704681;-5.27954;WGS84;8;Event;
NLowT-Pitfall5;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Dense Bracken, Berry;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.704196;-5.278583;WGS84;8;Event;
NLowT-Pitfall6;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Bracken, Berry Deer Grass;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.704062;-5.278153;WGS84;8;Event;
NLowT-Pitfall7;Pitfall trap;5 Minutes walk along transect;1;Trap;13/09/2023;Overnight;256;Dense Bracken, Berry;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.703836;-5.277722;WGS84;8;Event;
NLowT-Sweep-1;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;10:00;256;Calm, Sunny, Bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.706325;-5.282267;WGS84;8;Event;
NLowT-Sweep-2;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;10:20;256;Calm, Sunny, Bracken Grass Neetle;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.705706;-5.281023;WGS84;8;Event;
NLowT-Sweep-3;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;10:40;256;Calm, Sunny, Bracken Wide Deer track;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.704924;-5.27997;WGS84;8;Event;
NLowT-Sweep-4;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;11:00;256;Calm, Sunny, Dense Bracken, Berry, WIllow(2M tall);Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.70425;-5.278774;WGS84;8;Event;
NLowT-Sweep-5;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;11:20;256;Calm, Sunny, Dense, Bracken Wide Path;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.704115;-5.278248;WGS84;8;Event;
NLowT-Sweep-6;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;11:40;256;Calm, Sunny, Dense Bracken Berry;Scotland;GB-SCT;Lochranza, Isle of Arran;NLowT;55.703792;-5.277578;WGS84;8;Event;
