Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records;Invasive
Accipiter nisus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter;Accipiter nisus;1;
Acer pseudoplatanus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer pseudoplatanus;1;
Achillea millefolium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;3;
Actitis hypoleucos;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Actitis;Actitis hypoleucos;4;
Agrostis canina;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Agrostis;;1;
Agrostis capillaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Agrostis;Agrostis capillaris;3;
Agrostis stolonifera;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Agrostis;Agrostis stolonifera;1;
Aira praecox;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Aira;Aira praecox;1;
Ajuga reptans;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Ajuga;Ajuga reptans;3;
Alnus glutinosa;(L.) Gaertn.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;Alnus glutinosa;3;
Anas platyrhynchos;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;4;
Anemone nemorosa;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Anemone;Anemone nemorosa;2;
Angelica sylvestris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Angelica;Angelica sylvestris;1;
Anthoxanthum odoratum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum;Anthoxanthum odoratum;3;
Anthus petrosus;(Montagu, 1798);SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus petrosus;3;
Anthus pratensis;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus pratensis;5;
Ardea cinerea;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea cinerea;2;
Asplenium trichomanes subsp. quadrivalens;D.E. Mey.;SUBSPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Aspleniaceae;Asplenium;Asplenium trichomanes;1;
Asplenium trichomanes;L.;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Aspleniaceae;Asplenium;Asplenium trichomanes;1;
Athyrium filix-femina;(L.) Roth;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Athyriaceae;Athyrium;Athyrium filix-femina;3;
Austrolimnophila ochracea;(Meigen, 1804);SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Austrolimnophila;Austrolimnophila ochracea;1;
Bellis perennis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Bellis;Bellis perennis;1;
Betula pubescens;Ehrh.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Betulaceae;Betula;Betula pubescens;3;
Blechnum spicant;(L.) Roth;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Blechnaceae;Blechnum;Blechnum spicant;3;
Brachypodium sylvaticum;(Huds.) P. Beauv.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Brachypodium;Brachypodium sylvaticum;1;
Buteo buteo;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo buteo;4;
Calathus melanocephalus;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Calathus;Calathus melanocephalus;2;
Callitriche stagnalis;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Callitriche;;2;
