"Main.group" "Scientific.Name" "Common.name" "Conservation.action.needed" "Avoid.negative.impacts"
"2" "Mammals" "Arvicola amphibius" "Water Vole" "Yes" "Yes"
"3" "Mammals" "Erinaceus europaeus" "European Hedgehog" "-" "-"
"4" "Mammals" "Felis silvestris" "Wildcat" "Yes" "Yes"
"5" "Mammals" "Lepus europaeus" "Brown Hare" "Yes" "-"
"6" "Mammals" "Lepus timidus" "Mountain Hare" "-" "Yes"
"7" "Mammals" "Lutra lutra" "Otter" "-" "Yes"
"8" "Mammals" "Martes martes" "Pine Marten" "-" "Yes"
"9" "Mammals" "Microtus arvalis" "Orkney Vole" "-" "-"
"10" "Mammals" "Mustela putorius" "Polecat" "-" "Yes"
"11" "Mammals" "Myotis brandtii" "Brandt's Bat" "-" "Yes"
"12" "Mammals" "Myotis daubentonii" "Daubenton's Bat" "-" "Yes"
"13" "Mammals" "Myotis mystacinus" "Whiskered Bat" "-" "Yes"
"14" "Mammals" "Myotis nattereri" "Natterer's Bat" "-" "Yes"
"15" "Mammals" "Nyctalus noctula" "Noctule" "-" "Yes"
"16" "Mammals" "Pipistrellus nathusii" "Nathusius's Pipistrelle" "-" "Yes"
"17" "Mammals" "Pipistrellus pipistrellus" "Pipistrelle" "-" "Yes"
"18" "Mammals" "Pipistrellus pygmaeus" "Soprano Pipistrelle" "-" "Yes"
"19" "Mammals" "Plecotus auritus" "Brown Long-eared Bat" "-" "Yes"
"20" "Mammals" "Rattus rattus" "Black Rat" "Yes" "-"
"21" "Mammals" "Sciurus vulgaris" "Red Squirrel" "Yes" "Yes"
"22" "Reptiles & amphibians" "Bufo bufo" "Common Toad" "-" "Yes"
"23" "Reptiles & amphibians" "Epidalea calamita" "Natterjack Toad" "-" "Yes"
"24" "Reptiles & amphibians" "Triturus cristatus" "Great Crested Newt" "-" "Yes"
"25" "Reptiles & amphibians" "Anguis fragilis" "Slow-worm" "-" "Yes"
"26" "Reptiles & amphibians" "Lacerta agilis" "Sand Lizard" "-" "Yes"
"27" "Reptiles & amphibians" "Vipera berus" "Adder" "-" "Yes"
"28" "Reptiles & amphibians" "Zootoca vivipara" "Common Lizard" "-" "Yes"
"29" "Birds" "Acrocephalus scirpaceus" "Reed Warbler" "-" "Yes"
"30" "Birds" "Alauda arvensis" "Sky Lark" "-" "Yes"
"31" "Birds" "Alcedo atthis" "Kingfisher" "-" "Yes"
"32" "Birds" "Spatula querquedula" "Garganey" "Yes" "Yes"
"33" "Birds" "Anser albifrons" "Greenland White-fronted Goose" "Yes" "Yes"
"34" "Birds" "Anser fabalis" "Bean Goose" "Yes" "Yes"
"35" "Birds" "Anthus trivialis" "Tree Pipit" "-" "Yes"
"36" "Birds" "Apus apus" "Swift" "Yes" "Yes"
"37" "Birds" "Aquila chrysaetos" "Golden Eagle" "-" "Yes"
"38" "Birds" "Asio flammeus" "Short-eared Owl" "-" "Yes"
"39" "Birds" "Aythya ferina" "Pochard" "Yes" "Yes"
"40" "Birds" "Aythya marila" "Scaup" "Yes" "Yes"
"41" "Birds" "Botaurus stellaris" "Bittern" "Yes" "Yes"
"42" "Birds" "Branta leucopsis" "Barnacle Goose" "-" "Yes"
"43" "Birds" "Calidris alpina" "Dunlin" "-" "Yes"
"44" "Birds" "Calidris maritima" "Purple Sandpiper" "Yes" "Yes"
"45" "Birds" "Calidris temminckii" "Temminck's Stint" "Yes" "Yes"
"46" "Birds" "Caprimulgus europaeus" "Nightjar" "Yes" "Yes"
"47" "Birds" "Acanthis flammea" "Lesser Redpoll" "Yes" "Yes"
"48" "Birds" "Linaria cannabina" "Linnet" "-" "Yes"
"49" "Birds" "Carduelis flavirostris subsp. bensonorum/pipilans" "Twite" "Yes" "-"
"50" "Birds" "Spinus spinus" "Siskin" "Yes" "Yes"
"51" "Birds" "Carpodacus erythrinus" "Common Rosefinch" "-" "Yes"
"52" "Birds" "Charadrius morinellus" "Dotterel" "-" "Yes"
"53" "Birds" "Circus aeruginosus" "Marsh Harrier" "Yes" "Yes"
"54" "Birds" "Circus cyaneus" "Hen Harrier" "-" "Yes"
"55" "Birds" "Coccothraustes coccothraustes" "Hawfinch" "Yes" "-"
"56" "Birds" "Corvus cornix" "Hooded Crow" "Yes" "-"
"57" "Birds" "Crex crex" "Corn Crake" "Yes" "Yes"
"58" "Birds" "Cuculus canorus" "Cuckoo" "-" "Yes"
"59" "Birds" "Cygnus columbianus" "Bewick's Swan" "-" "Yes"
"60" "Birds" "Cygnus cygnus" "Whooper Swan" "Yes" "Yes"
"61" "Birds" "Emberiza calandra" "Corn Bunting" "Yes" "-"
"62" "Birds" "Emberiza citrinella" "Yellowhammer" "-" "-"
"63" "Birds" "Emberiza schoeniclus" "Reed Bunting" "-" "-"
"64" "Birds" "Falco columbarius" "Merlin" "-" "Yes"
